site,x,y,soil.depth.cm
McGilvra Woods,0,0,50
McGilvra Woods,2.5,0,50
McGilvra Woods,5,0,50
McGilvra Woods,7.5,0,50
McGilvra Woods,10,0,19
McGilvra Woods,12.5,0,50
McGilvra Woods,15,0,19
McGilvra Woods,17.5,0,50
McGilvra Woods,20,0,25
McGilvra Woods,22.5,0,22
McGilvra Woods,25,0,17
McGilvra Woods,27.5,0,50
McGilvra Woods,30,0,50
McGilvra Woods,32.5,0,50
McGilvra Woods,35,0,50
McGilvra Woods,37.5,0,43
McGilvra Woods,40,0,27
McGilvra Woods,42.5,0,50
McGilvra Woods,45,0,50
McGilvra Woods,47.5,0,50
McGilvra Woods,50,0,50
McGilvra Woods,50,10,50
McGilvra Woods,47.5,10,50
McGilvra Woods,45,10,45
McGilvra Woods,42.5,10,50
McGilvra Woods,40,10,50
McGilvra Woods,37.5,10,29
McGilvra Woods,35,10,50
McGilvra Woods,32.5,10,50
McGilvra Woods,30,10,50
McGilvra Woods,27.5,10,16
McGilvra Woods,25,10,14
McGilvra Woods,22.5,10,35
McGilvra Woods,20,10,50
McGilvra Woods,17.5,10,50
McGilvra Woods,15,10,50
McGilvra Woods,12.5,10,37
McGilvra Woods,10,10,50
McGilvra Woods,7.5,10,12
McGilvra Woods,5,10,50
McGilvra Woods,2.5,10,50
McGilvra Woods,0,10,50
McGilvra Woods,0,20,50
McGilvra Woods,2.5,20,50
McGilvra Woods,5,20,50
McGilvra Woods,7.5,20,25
McGilvra Woods,10,20,13
McGilvra Woods,12.5,20,50
McGilvra Woods,15,20,47
McGilvra Woods,17.5,20,50
McGilvra Woods,20,20,50
McGilvra Woods,22.5,20,50
McGilvra Woods,25,20,50
McGilvra Woods,27.5,20,50
McGilvra Woods,30,20,47
McGilvra Woods,32.5,20,50
McGilvra Woods,35,20,26
McGilvra Woods,37.5,20,50
McGilvra Woods,40,20,50
McGilvra Woods,42.5,20,50
McGilvra Woods,45,20,46
McGilvra Woods,47.5,20,50
McGilvra Woods,50,20,50
McGilvra Woods,50,30,45
McGilvra Woods,47.5,30,15
McGilvra Woods,45,30,50
McGilvra Woods,42.5,30,10
McGilvra Woods,40,30,50
McGilvra Woods,37.5,30,50
McGilvra Woods,35,30,50
McGilvra Woods,32.5,30,5
McGilvra Woods,30,30,50
McGilvra Woods,27.5,30,50
McGilvra Woods,25,30,50
McGilvra Woods,22.5,30,17
McGilvra Woods,20,30,50
McGilvra Woods,17.5,30,50
McGilvra Woods,15,30,25
McGilvra Woods,12.5,30,50
McGilvra Woods,10,30,18
McGilvra Woods,7.5,30,50
McGilvra Woods,5,30,50
McGilvra Woods,2.5,30,50
McGilvra Woods,0,30,50
McGilvra Woods,0,40,50
McGilvra Woods,2.5,40,29
McGilvra Woods,5,40,50
McGilvra Woods,7.5,40,50
McGilvra Woods,10,40,50
McGilvra Woods,12.5,40,10
McGilvra Woods,15,40,3
McGilvra Woods,17.5,40,50
McGilvra Woods,20,40,50
McGilvra Woods,22.5,40,50
McGilvra Woods,25,40,50
McGilvra Woods,27.5,40,50
McGilvra Woods,30,40,50
McGilvra Woods,32.5,40,50
McGilvra Woods,35,40,50
McGilvra Woods,37.5,40,11
McGilvra Woods,40,40,50
McGilvra Woods,42.5,40,37
McGilvra Woods,45,40,50
McGilvra Woods,47.5,40,13
McGilvra Woods,50,40,50
McGilvra Woods,50,50,50
McGilvra Woods,47.5,50,50
McGilvra Woods,45,50,50
McGilvra Woods,42.5,50,50
McGilvra Woods,40,50,50
McGilvra Woods,37.5,50,24
McGilvra Woods,35,50,50
McGilvra Woods,32.5,50,38
McGilvra Woods,30,50,6
McGilvra Woods,25,50,50
McGilvra Woods,22.5,50,50
McGilvra Woods,20,50,50
McGilvra Woods,17.5,50,50
McGilvra Woods,15,50,50
McGilvra Woods,12.5,50,50
McGilvra Woods,10,50,18
McGilvra Woods,7.5,50,17
McGilvra Woods,5,50,10
McGilvra Woods,2.5,50,50
McGilvra Woods,0,50,50
McGilvra Woods,0,45,50
McGilvra Woods,2.5,45,50
McGilvra Woods,5,45,50
McGilvra Woods,7.5,45,50
McGilvra Woods,10,45,50
McGilvra Woods,12.5,45,50
McGilvra Woods,15,45,50
McGilvra Woods,17.5,45,21
McGilvra Woods,20,45,50
McGilvra Woods,22.5,45,50
McGilvra Woods,25,45,50
McGilvra Woods,27.5,45,50
McGilvra Woods,30,45,50
McGilvra Woods,32.5,45,19
McGilvra Woods,35,45,50
McGilvra Woods,37.5,45,50
McGilvra Woods,40,45,50
McGilvra Woods,42.5,45,50
McGilvra Woods,45,45,50
McGilvra Woods,47.5,45,47
McGilvra Woods,50,45,46
McGilvra Woods,0,35,50
McGilvra Woods,2.5,35,50
McGilvra Woods,5,35,50
McGilvra Woods,7.5,35,22
McGilvra Woods,10.2,35,50
McGilvra Woods,12.5,35,50
McGilvra Woods,15,35,50
McGilvra Woods,17.5,35,50
McGilvra Woods,20,35,50
McGilvra Woods,22.5,35,1
McGilvra Woods,25,35,35
McGilvra Woods,27.5,35,50
McGilvra Woods,30,35,14
McGilvra Woods,32.5,35,41
McGilvra Woods,35,35,50
McGilvra Woods,37.5,35,12
McGilvra Woods,40,35,50
McGilvra Woods,42.5,35,50
McGilvra Woods,45,35,44
McGilvra Woods,47.5,35,50
McGilvra Woods,50,35,50
McGilvra Woods,50,25,19
McGilvra Woods,47.5,25,50
McGilvra Woods,45,25,19
McGilvra Woods,42.5,25,36
McGilvra Woods,40,25,15
McGilvra Woods,37.5,25,50
McGilvra Woods,35,25,50
McGilvra Woods,32.5,25,50
McGilvra Woods,30,25,13
McGilvra Woods,27.5,25,50
McGilvra Woods,25,25,5
McGilvra Woods,22.5,25,25
McGilvra Woods,20,25,44
McGilvra Woods,17.5,25,50
McGilvra Woods,15,25,50
McGilvra Woods,12.5,25,50
McGilvra Woods,10,25,50
McGilvra Woods,7.5,25,50
McGilvra Woods,5,25,50
McGilvra Woods,2.5,25,13
McGilvra Woods,0,25,50
McGilvra Woods,0,15,50
McGilvra Woods,2.5,15,11
McGilvra Woods,5,15,18
McGilvra Woods,7.5,15,50
McGilvra Woods,10,15,50
McGilvra Woods,12.5,15,50
McGilvra Woods,15,15,40
McGilvra Woods,17.5,15,48
McGilvra Woods,20,15,50
McGilvra Woods,22.5,15,32
McGilvra Woods,25,15,50
McGilvra Woods,27.5,15,50
McGilvra Woods,30,15,50
McGilvra Woods,32.5,15,50
McGilvra Woods,35,15,50
McGilvra Woods,37.5,15,50
McGilvra Woods,40,15,50
McGilvra Woods,42.5,15,50
McGilvra Woods,45,15,50
McGilvra Woods,47.5,15,50
McGilvra Woods,50,15,50
McGilvra Woods,0,5,50
McGilvra Woods,2.5,5,50
McGilvra Woods,5,5,50
McGilvra Woods,7.5,5,50
McGilvra Woods,10,5,50
McGilvra Woods,12.5,5,22
McGilvra Woods,15,5,31
McGilvra Woods,17.5,5,50
McGilvra Woods,20,5,50
McGilvra Woods,22.5,5,50
McGilvra Woods,25,5,50
McGilvra Woods,27.5,5,50
McGilvra Woods,30,5,50
McGilvra Woods,32.5,5,50
McGilvra Woods,35,5,50
McGilvra Woods,37.5,5,50
McGilvra Woods,40,5,50
McGilvra Woods,42.5,5,43
McGilvra Woods,45,5,10
McGilvra Woods,47.5,5,50
McGilvra Woods,50,5,50
